id,Name,Fueltype,Technology,Set,Country,Capacity,lat,lon,DateIn,DateOut
mastr_SEE915426748132,mastr_SEE915426748132,Lignite,steam turbine,PP,DE,75.3,51.018527,6.962693,2010.0,2025.0
mastr_SEE978207781308,mastr_SEE978207781308,Natural Gas,OCGT,PP,DE,108.2,51.018527,6.962693,2004.0,
mastr_SEE964935453853,mastr_SEE964935453853,Natural Gas,OCGT,PP,DE,26.459,53.562548,13.295642,1997.0,
mastr_SEE984335626152,mastr_SEE984335626152,Natural Gas,CCGT,PP,DE,266.0,50.974163,6.988033,2005.0,
mastr_SEE960652233358,mastr_SEE960652233358,Lignite,steam turbine,PP,DE,450.0,51.401111,11.950833,1995.0,
mastr_SEE963817764100,mastr_SEE963817764100,Natural Gas,OCGT,PP,DE,25.0,52.3056,10.5072,1990.0,
mastr_SEE904165703137,mastr_SEE904165703137,Natural Gas,OCGT,PP,DE,51.35,51.478138,13.889436,1994.0,
mastr_SEE918705951896,mastr_SEE918705951896,Natural Gas,OCGT,PP,DE,40.428,51.478138,13.889436,1994.0,
mastr_SEE971164680486,mastr_SEE971164680486,Natural Gas,OCGT,PP,DE,25.517,51.478138,13.889436,1994.0,
mastr_SEE947677200282,mastr_SEE947677200282,Lignite,steam turbine,PP,DE,450.0,51.401111,11.950833,1996.0,
mastr_SEE952352206145,mastr_SEE952352206145,Hard Coal,steam turbine,PP,DE,345.0,51.59997,7.00565,1968.0,
mastr_SEE933236950972,mastr_SEE933236950972,Hard Coal,steam turbine,PP,DE,345.0,51.59997,7.00565,1969.0,
mastr_SEE920672219015,mastr_SEE920672219015,Lignite,steam turbine,PP,DE,9.8,52.295197,8.024338,1977.0,
mastr_SEE960733358116,mastr_SEE960733358116,Natural Gas,OCGT,PP,DE,2.419,51.375876,6.416451,2024.0,
mastr_SEE939692270074,mastr_SEE939692270074,Natural Gas,OCGT,PP,DE,54.0,51.60242,7.009876,2023.0,
mastr_SEE938663790405,mastr_SEE938663790405,Natural Gas,OCGT,PP,DE,2.419,51.375876,6.416451,2024.0,
mastr_SEE960955163109,mastr_SEE960955163109,Natural Gas,OCGT,PP,DE,2.419,51.375876,6.416451,2024.0,
mastr_SEE918916993708,mastr_SEE918916993708,Natural Gas,OCGT,PP,DE,50.0,51.656639,12.256139,1996.0,
